filiere;hentad;niveaux;liveoù;Dep;uai;nom;anv;adresse;choml;cp-kp;commune;kumun;code_insee-kod_ebssa;telephone-pgz;telecopie-plr;courriel-posteler;autre_courriel-posteler_all;internet-kenrouedad;latitude-ledred;longitude-hedred
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221908E;Skol Diwan Bro ar Renk;Skol Diwan Bro ar Renk;Cité Amiral de La Bretonnière;Kêrig an Amiral De La Bretonnière;22100;DINAN;DINAN;22050;02 96 87 05 56;02 96 39 87 78 ;ec.0221908E@ac-rennes.fr;diwandinan@free.fr;http://www.diwan-dinan.com/br/;48.46140211119016;-2.0392695909774945
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221408L;Ecole Saint-Yves;Skol Sant Iwan;4 route de Rostrenen;4 hent Rostrenenn;22110;GLOMEL;GROÑVEL;22061;02 96 29 61 87;_;ec.0221408L@ac-rennes.fr;eco22.st-yves.glomel@eco.ecbretagne.org;http://www.saintyvesglomel.fr/;48.22378015210762;-3.3933693402324656
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221488Y;École publique;Skol bublik;Rue Ste Suzanne - MÛR-DE-BRETAGNE;Straed Santez Suzanna - MUR;22530;GUERLEDAN;GWERLEDAN;22158;02 96 26 08 69;_;ce.0221488Y@ac-rennes.fr;_;_;48.20164018074617;-2.9884101877857097
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221413S;Ecole Saint-Léonard;Skol Sant Leonard;20 rue du Général Leclerc;20 Straed ar Jeneral Leclerc;22200;GUINGAMP;GWENGAMP;22070;02 96 43 71 47;02 96 40 02 11;ec.0221413S@ac-rennes.fr;_;http://www.ecolestleonardguingamp.fr/;48.56577970873783;-3.1548205512056176
Catholique;Katolik;Collège;Skolaj;22;0220098M;Collège-Lycée Notre-Dame - Saint Dominique;Skolaj-Lise an Itron-Varia - Sant Dominig;21 rue des Capucins - BP 30541;21 straed ar Gabusined - BP 30541;22205;GUINGAMP;GWENGAMP;22070;02 96 40 21  50;02 96 40 21 51 ;administration@notredameguingamp.net;_;http://www.notredameguingamp.net/;48.565012505005306;-3.153589709065814
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221799L;Skol Diwan Gwengamp;Skol Diwan Gwengamp;Rue St-Sauveur;Straed ar Salver;22200;GUINGAMP;GWENGAMP;22070;02 96 44 37 54;_;ec.0221799L@ac-rennes.fr ;skoldiwangwengamp@voila.fr;http://skoldiwangwengamp.com/;48.56296287289007;-3.156350077027508
Public;Publik;Collège;Skolaj;22;0220197V;Collège Jacques Prévert;Skolaj Jacques Prévert;58 rue de la Trinité, BP 228;58 straed an Drinded - BP 228;22205;GUINGAMP;GWENGAMP;22070;02 96 40 14 10;02 96 44 06 14;Ce.0220197v@ac-rennes.fr;_;http://www.college-jacques-prevert-guingamp.ac-rennes.fr/;48.55954191759701;-3.1429105980507233
Catholique;Katolik;Lycée;Lise;22;0220097L;Lycée Notre-Dame;Lise an Itron-Varia;21 rue des Capucins, BP 30 541;21 Straed ar Gabusined, BP 30 541;22200;GUINGAMP Cedex;GWENGAMP Cedex;22070;02 96 40 21 50;02 96 40 21 51;administration@notredameguingamp.net;_;http://www.notredameguingamp.net;48.562440615195335;-3.1426202883760856
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220899h;Ecole Méheut-Lavergne;Skol Meheut-Lavergne;15 rue Docteur Lavergne;15 straed Doktor Lavergne;22400;LAMBALLE-ARMOR;LAMBAL-ARVOR;22093;06 11 51 36 33 / 02 96 31 01 72 / 02 96 31 90 15;_;ecole.0220899h@ac-rennes.fr;_;_;48.47026517588317;-2.5137495201879494
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221156M;Ecole Jeanne d' Arc ;Skol Janed Ark;6 rue de la Bienfaisance;6 Straed ar Madobererezh;22300;LANNION;LANNUON;22113;02 96 46 26 10;02 96 46 26 12;ec.0221156M@ac-rennes.fr;_;http://www.jeannedarclannion.com/;48.729113419870856;-3.4528098208653
Catholique;Katolik;Collège;Skolaj;22;0220104U;Collège Saint-Joseph;Skolaj Sant Jozef;4 rue de la Bienfaisance, BP 40434;4 Straed ar Madobererezh, BP 40434;22300;LANNION;LANNUON;22113;02 96 46 26 00;02 96 46 26 22;ce.0220102S@ac-rennes.fr;_;http://www.saintjosephlannion.fr/;48.72874868839299;-3.4561094497874234
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221800M;Skol Diwan Lannuon;Skol Diwan Lannuon;Kernedeleg, rue de l'école - Loguivy-lès-Lannion;Kernedeleg, Straed ar Skol - Logivi-Lannuon;22300;LANNION;LANNUON;22113;02 96 37 49 03;02 96 37 49 03;ec.0221800M@ac-rennes.fr;diwan.lannion@wanadoo.fr;http://www.diwanlannuon.net/;48.72976995916969;-3.4543166189314105
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220944G;Ecole  Saint-Roch;Skol Sant Rok;20 rue du Muguet;20 straed Louzaouenn-an-Hañv ;22300;LANNION;LANNUON;22113;02 96 48 75 54;_;ecole.0220944g@ac-rennes.fr;_;_;48.74365816380247;-3.469110238873977
Public;Publik;Ecole maternelle;Skol-vamm;22;0220942E;Ecole Penn ar Ru;Skol Penn ar Ru;Rue Gabriel Nogues;Straed Gabriel Nogez;22300;LANNION;LANNUON;22113;02 96 37 09 47;_;ecole.0220942e@ac-rennes.fr;_;_;48.72779846157678;-3.464559585920925
Public;Publik;Collège;Skolaj;22;0220082V;Collège Charles Le Goffic;Skolaj Charlez ar Govig;7 rue Penn ar Stank;7 straed Penn ar Stank;22308;LANNION;LANNUON;22113;02 96 37 44 64;02 96 37 52 27;Ce.0220082v@ac-rennes.fr;_;http://www.college-le-goffic-lannion.ac-rennes.fr/;48.746523669667084;-3.465132093297858
Public;Publik;Lycée;Lise;22;0220023F;Lycée Félix Le Dantec;Lise Félix an Danteg;Rue des Cordiers, BP 249;straed ar Gordennerien - BP 249 ;22303;LANNION;LANNUON;22113;02 96 05 61 71;02 96 37 12 90;ce.0220023f@ac-rennes.fr;_;http://www.lycee-ledantec.ac-rennes.fr/;48.732064075535824;-3.4500497901101643
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220950N;École primaire publique;Skol kentañ derez publik;3 place des Marronniers;3 plasenn ar Gwez-kistin Bourdel;22480;LANRIVAIN;LARRUEN;22115;02 96 36 52 79;_;ecole.0220950n@ac-rennes.fr;_;_;48.3475526579603;-3.215500573274207
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220964D;Ecole Yves Jouan;Skol Yves Jouan;2 rue de la Boissière;2 straed ar Veuzid;22290;LANVOLLON;LANNOLON;22121;02 96 70 02 91;_;ecole.0220964d@ac-rennes.fr;_;_;48.63281291624197;-2.9890706404446075
Public;Publik;Ecole maternelle;Skol-vamm;22;0221592L;Ecole primaire publique Yves Tredan ;Skol kentañ derez publik Yves Tredan;20 Hent Penn ar Pave;20 Hent Penn ar Pave;22420;LE VIEUX-MARCHE;AR C'HOUERC'HAD;22387;296389272;_;ce.0221592L@ac-rennes.fr;_;_;48.603846895430934;-3.448809969769297
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221976D;Skol Diwan Louaneg;Skol Diwan Louaneg;5 rue st Yves;5 straed sant Erwan;22700;LOUANNEC;LOUANEG;22134;02 96 91 01 34;_;ec.0221976D@ac-rennes.fr;diwan.louaneg@yahoo.fr;http://skol.diwan.louaneg.free.fr/DiwanLouaneg/Accueil.html;48.79518561105834;-3.4111399287600737
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221808W;Ecole publique des Deux Ménés;Skol bublik an Daou Venez;11 allée Fao;11 Alez ar Fao;22540;LOUARGAT;LOUERGAD;22135;02 96 43 12 36;02 96 43 18 71;ecole.0221808w@ac-rennes.fr;_;_;48.56757942484907;-3.3377000517141635
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221168A;Ecole du Sacré Coeur;Skol ar Galon Sakr;rue du Foyer logement;straed ar Foyer Logement;22340;MAEL-CARHAIX;MÊL-KARAEZ;22137;02 96 24 65 74;_;ec.0221168A@ac-rennes.fr;eco22.sc.mael-carhaix @eco.bretagne.org;_;48.28290604464898;-3.426090094437459
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221441X;Ecole publique du Bourg;Skol bublik ar Bourk;22 rue de l'église;22 straed an Iliz;22200;PABU;PABU;22161;02 96 40 68 96;_;ecole.0221441x@ac-rennes.fr;_;_;48.58664179290301;-3.136010558645666
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221802P;Skol Diwan Pempoull;Skol Diwan Pempoull;2 chemin de Kergiquel;2 hent Kerjikel;22500;PAIMPOL;PEMPOULL;22162;09 61 41 18 36 / 02 96 22 08 48;_;ec.0221802P@ac-rennes.fr;direction@skol-diwan-pempoull.org;http://skoldiwanpempoull.jimdo.com/;48.77166615300245;-3.0721704831379135
Public;Publik;Ecole maternelle;Skol-vamm;22;0220701t;Ecole Kernoa;Skol Kernoa;Rue Salvador Allende;Straed Salvador Allende;22500;PAIMPOL;PEMPOULL;22162;296208887;_;ecole.0220701t@ac-rennes.fr;_;_;48.78105692591972;-3.0582401299432918
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220711D;Ecole publique;Skol bublik;14 rue d'Armor;14 straed an Arvor;22710;PENVENAN;PERWENAN;22166;02 96 92 65 18;_;ecole.0220711d@ac-rennes.fr;ecole.penvenan@wanadoo.fr;_;48.814939266950006;-3.29595056527476
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221189Y;Ecole Saint-Yves;Skol Sant Erwan;13 rue du Sergent L'Heveder;13 straed ar Serjant L'Heveder;22700;PERROS-GUIREC;PERROZ-GIREG;22168;02 96 23 21 60;02 96 23 12 34;ec.0221189Y@ac-rennes.fr;eco22.st-yves.perros@eco.ecbretagne.org;http://www.ecolesaintyves.fr/;48.80960696215694;-3.4458798843653886
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221576U;Ecole Letonturier;Skol Letonturier;Allée des écoliers;Alez ar skolidi;22960;PLEDRAN;PLEDRAN;22176;02 96 42 26 33;_;ecole.0221576u@ac-rennes.fr;_;_;48.442629437832686;-2.7485157057635226
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220250C;École Harel de la Noë;Skol Harel de la Noë;4 rue des Près Josse;4 straed Pradoù Jos;22190;PLERIN;PLERIN;22187;02 96 74 52 57;_;ecole.0220250c@ac-rennes.fr;_;_;48.532356178315425;-2.763960662092134
Catholique;Katolik;Ecole maternelle;Skol-vamm;22;0221857Z;Notre Dame;An Itron-Varia;Place Marie Balavenne;Plasenn Marie Balavenn;22190;PLÉRIN;PLERIN;22187;296747602;_;ec.0221857Z@ac-rennes.fr ;_;http://ecolenotredameplerin.fr/;48.536075446782256;-2.7687598173714316
Diwan;Diwan;Collège;Skolaj;22;0221877W;Collège Bro-Dreger;Skolaj Diwan Bro-Dreger;6 rue Saint-Pierre;6 straed Sant Pêr;22720;PLESIDY;PLIJIDI;22189;02 96 21 48 73;02 96 21 49 04;ce.0221877W@ac-rennes.fr;skolaj.plijidi@diwanbreizh.org;http://www.skolajtreger.org;48.44600769059244;-3.126079463045536
Public;Publik;Ecole maternelle;Skol-vamm;22;0221473G;Ecole maternelle;Skol-vamm;3 rue Penkêr;3 straed ar Penkêr;22310;PLESTIN-LES-GREVES;PLISTIN;22194;02 96 35 66 80;_;ecole.0221473g@ac-rennes.fr;_;_;48.65014270824658;-3.631019776204885
Public;Publik;Ecole élémentaire;Skol-gentañ;22;0221492C;Ecole primaire;Skol-gentañ;18 rue Ecoles;18 straed ar Skolioù;22310;PLESTIN-LES-GREVES;PLISTIN;22194;02 96 35 63 93;_;ecole.0221492c@ac-rennes.fr;_;_;48.65124281968541;-3.6328202242469567
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221521J;École primaire publique;Skol kentañ derez publik;8 rue Beaumanoir;"
8 straed Beaumanoir";22260;PLOEZAL;PLEUZAL;22204;02 96 95 01 09;_;ecole.0221521j@ac-rennes.fr;_;_;48.715180230425105;-3.2026793485344007
Public;Publik;Ecole maternelle;Skol-vamm;22;0221632E;Ecole publique;Skol bublik;12 rue Jean-Marie Le Foll;12 straed Jean-Marie ar Foll;22300;PLOUBEZRE;PLOUBÊR;22211;02 96 47 13 02;_;ce.0221632E@ac-rennes.fr;_;_;48.70349772770077;-3.448860229940298
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221497H;École André Lefèbvre;Skol André Lefèbvre;16 rue Cyrille Le Barbu;16 straed Cyrille ar Barbu;22470;PLOUEZEC;PLOUEG-AR-MOR;22214;02 96 20 65 94;_;ecole.0221497h@ac-rennes.fr;_;_;48.74882515013962;-2.983390253550422
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221536A;Ecole Mona et Jacques OZOUF;Skol Mona ha Jacques OZOUF;Avenue Laënnec;Bali Laeneg;22580;PLOUHA;PLOUHA;22222;02 96 20 24 46;_;ecole.0221536a@ac-rennes.fr;_;_;48.67563639052464;-2.931902184344332
Public;Publik;Collège;Skolaj;22;0221512Z;Collège Jean Louis Hamon;Skolaj Jean Louis Hamon;Rue de Dixmude, BP44;Straed Diksmuide, BP44;22580;PLOUHA;PLOUHA;22222;02 96 20 20 49;02 96 20 36 16;Ce.0221512z@ac-rennes.fr;_;_;48.674926364180955;-2.9336601825735356
Public;Publik;Ecole maternelle;Skol-vamm;22;0221578W;Ecole maternelle Christian-Le-Verge;Skol-vamm Christian Le Verge;26 rue de la Poste;26 straed an Ti-Post;22970;PLOUMAGOAR;PLOUVAGOR;22225;02 96 44 34 58;_;ecole.0221578w@ac-rennes.fr;_;_;48.54293698363655;-3.135850655375322
Public;Publik;Ecole élémentaire;Skol-gentañ;22;0221719Z;Ecole élémentaire Christian-Le-Verge;Skol-gentañ Christian Le Verge;28 rue de la Poste;28 straed an Ti-Post;22970;PLOUMAGOAR;PLOUVAGOR;22225;02 96 11 10 19;_;ecole.0221719z@ac-rennes.fr;_;_;48.54237007488158;-3.137269367898685
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221977E;Skol Diwan Plounevez-Moedeg;Skol Diwan Plounevez-Moedeg;Rue Jean Moulin;Straed Jean Moulin;22810;PLOUNEVEZ-MOEDEC;PLOUNEVEZ-MOEDEG;22228;02 96 54 73 88 / 06 73 85 06 30;02 96 38 68 91;ec.0221977E@ac-rennes.fr;skoldiwanchapelnevez@voila.fr;_;48.555649777674006;-3.442270377238948
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221614K;Ecole publique;Skol bublik;6 rue du 19 mars 1962;6 straed an 19 a viz Meurzh 1962;22810;PLOUNEVEZ-MOEDEC;PLOUNEVEZ-MOEDEG;22228;02 96 54 72 72;_;ecole.0221614k@ac-rennes.fr;_;_;48.555753812666346;-3.4443606394627726
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220638Z;Ecole publique;Skol bublik;11 rue Julien Le Huerou;11 straed Juluan ar C'hwerou;22140;PRAT;PRAD;22254;296470730;_;ce.0220638Z@ac-rennes.fr;_;_;48.67673180005201;-3.296489785739047
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220656U;École publique;Skol bublik;18 rue Mal Leclerc;18 straed ar Marichal Leclerc;22800;QUINTIN;KINTIN;22262;02 96 74 93 18;_;ce.0220656U@ac-rennes.fr;_;_;48.40543884097082;-2.9115702226650897
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221291J;Ecole Sainte Marie;Skol Santez Mari ;1 route de Quemperven;1 hent Kemperven;22300;ROSPEZ;ROSPEZH;22265;02 96 38 02 08;_;ec.0221291J@ac-rennes.fr;saintemarie.rospez@wanadoo.fr;https://www.ecolestemarierospez.fr/;48.72905479205838;-3.384040228164856
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221292K;Ecole Notre-Dame;Skol an Itron-Varia;1 rue de Metz;1 straed Metz;22110;ROSTRENEN;ROSTRENENN;22266;02 96 29 16 84;_;ec.0221292K@ac-rennes.fr;eco22nd.rostrenen@eco.ecbretagne.org;https://notredamerostrenen.fr/;48.23508921530017;-3.316665264468674
Catholique;Katolik;Collège;skolaj;22;0221749G;Collège Notre-Dame de Campostal;Skolaj Itron-Varia Gampostal;5 place du Bourg Coz;5 Plasenn ar Vourc'h Gozh;22110;ROSTRENEN;ROSTRENENN;22266;02 96 29 00 34;02 96 29 12 27;ce.0221749G@ac-rennes.fr;_;http://www.lycee-campostal-gouarec.com;48.23517608972736;-3.314739496692499
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221091S;Ecole publique;Skol bublik;2 ter rue Rosa Le Hénaff;2 ter straed Rosa Le Hénaff;22110;ROSTRENEN;ROSTRENENN;22266;02 96 29 05 93;02 96 29 05 93;ecole.0221091s@ac-rennes.fr;ecole.pub.rostrenen@wanadoo.fr;http://www.maternellerostrenen.org/;48.23352172719448;-3.3165393252846527
Public;Publik;Collège;Skolaj;22;0221038J;Collège Edouard Herriot;Skolaj Edouard Herriot;13 Porzh Moeloù, BP 6;13 Porzh Moeloù, BP 6;22110;ROSTRENEN;ROSTRENENN;22266;02 96 29 01 19;02 96 29 16 29;Ce.0221038j@ac-rennes.fr;_;http://www.college-edouard-herriot-rostrenen.ac-rennes.fr;48.2373876413169;-3.3219000169975215
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221801N;Skol Diwan Sant-Brieg;Skol Diwan Sant-Brieg;19 boulevard Carnot;19 boulouard Carnot;22000;SAINT-BRIEUC;SANT-BRIEG;22278;02 96 94 51 01;_;skoldiwansb@wanadoo.fr;ec.0221801N@ac-rennes.fr;http://ecolediwansaintbrieuc.unblog.fr/;48.50588640702575;-2.764819915561916
Public;Publik;Ecole maternelle;Skol-vamm;22;0220491P;Ecole publique Curie;Skol bublik Curie;7 rue Curie;7 straed Curie;22000;SAINT-BRIEUC;SANT-BRIEG;22278;02 96 61 81 50;_;ecole.0220491p@ac-rennes.fr;_;_;48.507431767291656;-2.7541699821788184
Public;Publik;Ecole maternelle;Skol-vamm;22;0221119X;Ecole publique du Grand Clos;Skol bublik ar C'hloz Bras;38 rue de Cornouaille;38 Straed Kerne;22000;SAINT-BRIEUC;SANT-BRIEG;22278;02 96 78 56 42;_;ecole.0221119x@ac-rennes.fr;_;_;48.51590566287302;-2.788199446923252
Public;Publik;Ecole élémentaire;Skol-gentañ;22;0220502b;Ecole publique Poutrin;Skol bublik Poutrin;1 rue Poutrin;1 straed Poutrin;22000;SAINT-BRIEUC;SANT-BRIEG;22278;296618898;_;ecole.0220502b@ac-rennes.fr;_;_;48.50787414707598;-2.7537896360489187
Public;Publik;Ecole élémentaire;Skol-gentañ;22;0221797J;Ecole publique du Grand Clos;Skol bublik ar C'hloz Bras;38 rue de Cornouaille;38 Straed Kerne;22000;SAINT-BRIEUC;SANT-BRIEG;22278;02 96 78 56 31;_;ecole.0221797j@ac-rennes.fr;_;_;48.51586142536689;-2.786850456888079
Public;Publik;Collège;Skolaj;22;0220184F;Collège public Jean Macé;Skolaj publik Jean Macé;41 rue du Trégor - BR 7028;41 straed Treger - BP 7828;22000;SAINT-BRIEUC;SANT-BRIEG;22278;02 96 01 59 59;02 96 78 32 02;Ce.0220184f@ac-rennes.fr;_;_;48.51544040292332;-2.791319535747367
Public;Publik;Ecole maternelle;Skol-vamm;22;0221507U;Ecole Marcellin Berthelot;Skol Marcellin Berthelot;16 rue de Brest;16 rue de Brest;22000;SAINT-BRIEUC ;SANT-BRIEG;22278;296613389;_;ecole.0221507u@ac-rennes.fr;_;_;48.51347288981664;-2.7676805514751384
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221096X;Ecole publique de Picherel;Skol bublik Picherel;Rue Palacret;straed Palacred;22730;TREGASTEL;TREGASTELL;22353;02 96 23 87 91;02 96 23 87 91;ecole.0221096x@ac-rennes.fr;_;http://www.ecole-tregastel.fr/joomla/index.php;48.82258682133529;-3.506389539426742
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221355D;Ecole Notre-Dame;Skol an Itron-Varia;2 av des Etats de Bretagne;2 bali Breujoù-Breizh;22220;TREGUIER;LANDREGER;22362;02 96 92 32 75;02 96 92 41 18;ec.0221355D@ac-rennes.fr;notre.dame.22treguier@wanadoo.fr;_;48.78643091102781;-3.229289344606214
Diwan;Diwan;Ecole maternelle;Skol-vamm;22;;Skol Diwan Landreger;Skol Diwan Landreger;13 rue Le Peltier;13 straed ar Pelleter;22220;TREGUIER;LANDREGER;22362;06 63 58 28 57;_;skol.landreger@diwan.bzh;_;_;48.784726;-3.231927
Public;Publik;Ecole maternelle;Skol-vamm;22;0221616M;Ecole primaire;Skol kentañ derez;9 rue des Perrières;9 rue des Perrières;22600;TREVE;TREVE;22376;296283444;_;ce.0221616M@ac-rennes.fr;_;_;48.21316702031294;-2.798076603641917
Public;Publik;Ecole maternelle;Skol-vamm;22;0221645U;Ecole Simone Veil;Skol Simone Veil;Rue du Bois Gilbert;Straed Koad Gilbert;22120;YFFINIAC;ILFINIEG;22389;02 96 72 64 77;_;ce.0221645U@ac-rennes.fr;_;_;48.48162989412834;-2.677790032035926
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292030Z;Skol Diwan Banaleg;Skol Diwan Banaleg;29 rue Sant-Lucas;29 straed Sant Lukaz;29380;BANNALEC;BANALEG;29004;02 98 39 54 90;02 98 39 54 90;ec.0292030Z@ac-rennes.fr;skol.diwanbanaleg@wanadoo.fr;_;47.92958233772358;-3.6973603601061735
Public;Publik;Ecole maternelle;Skol-vamm;29;0290530U;École maternelle;Skol-vamm bublik;2 rue Glenmor;2 straed Glenmor;29380;BANNALEC;BANALEG;29004;02 98 39 86 66;02 98 39 86 66;ec.0290530U@ac-rennes.fr;_;_;47.93042327372581;-3.694070658784872
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0291199W;Ecole élémentaire publique;Skol-gentañ bublik;2 rue Saint-Thurien;6 straed Sant Turian ;29380;BANNALEC;BANALEG;29004;02 98 39 81 80;_;ec.0291199W@ac-rennes.fr;_;_;47.93302405467413;-3.696149401583805
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291243U;Ecole Privée de Kermaria;Skol brevez Kermaria;40 rue de Kermaria;40 straed Kermaria;29200;BREST;BREST;29019;02 98 03 01 62;02 98 03 05 75;ec.0291243U@ac-rennes.fr;kermaria@lacroixrouge-brest.fr;http://www.lacroixrouge-brest.fr/Kermaria.aspx;48.4176483361319;-4.488660305990231
